"houseID","yearBuilt","lastSoldPrice","latitude","longitude","homeType","architecturalStyle","bathrooms","bedrooms","livingArea","lotSize","stories","constructionMaterials","hasAttachedGarage","hasFireplace","hasView"
47,2020,899900,45.41195679,-122.8013458,"SINGLE_FAMILY","Contemporary",3,6,4546,10454,NA,"NA",NA,1,1
48,1912,445000,45.44355392,-122.6307068,"SINGLE_FAMILY","Bungalow",2,4,2950,6969,3,"wood siding",0,1,0
49,2003,494000,45.41733551,-122.6525803,"SINGLE_FAMILY","Contemporary",3,4,2374,5227,2,"stone",0,1,1
50,1911,355000,45.48038483,-122.5797882,"SINGLE_FAMILY","Bungalow",1,3,1487,4791,2,"wood siding",0,1,0
51,2020,489910,45.45071793,-122.4893799,"SINGLE_FAMILY","Contemporary",3,3,2566,3920,2,"cement siding",NA,1,0
52,1956,550000,45.47449493,-122.7475128,"SINGLE_FAMILY","Ranch",2,3,1674,10890,1,"brick",1,1,0
53,1977,384000,45.35128403,-122.6124496,"SINGLE_FAMILY",NA,2,3,1480,4356,2,"lap siding",1,1,1
54,1954,482500,45.53756332,-122.5721436,"SINGLE_FAMILY","Capecod",2,4,2684,4791,3,"wood siding",0,NA,0
55,1981,345000,45.58685684,-122.6963882,"SINGLE_FAMILY",NA,1,3,960,4748,NA,"NA",NA,1,0
56,2006,309950,45.44622421,-122.6414871,"TOWNHOUSE","Townhouse",2,2,962,NA,2,"man made",1,1,1
57,1978,628000,45.39612579,-122.7593231,"SINGLE_FAMILY",NA,3,4,2375,9147,2,"wood siding",1,1,1
58,2006,380000,45.52908707,-122.3975296,"SINGLE_FAMILY","Traditional",3,3,1780,2178,2,"cement siding",1,NA,0
59,1950,350000,45.47242355,-122.3667145,"SINGLE_FAMILY",NA,1,2,972,13503,NA,"NA",NA,NA,0
60,1974,390000,45.32715225,-122.5932007,"SINGLE_FAMILY",NA,2,3,1664,8276,3,"vinyl siding",1,1,0
61,2009,294900,45.42844009,-122.835556,"SINGLE_FAMILY",NA,6,2,1116,NA,NA,"wood frame",NA,1,0
62,1978,487000,45.45127869,-122.7191162,"SINGLE_FAMILY","Contemporary",2,3,1515,6534,2,"t-111 siding",1,1,0
63,1960,446000,45.51554108,-122.434166,"SINGLE_FAMILY","Ranch",2,5,2125,8276,2,"cedar",1,1,0
64,1991,492500,45.43825531,-122.8332214,"SINGLE_FAMILY","Traditional",3,4,2017,6534,2,"brick",1,1,1
65,2020,797817,45.44171906,-122.5072479,"SINGLE_FAMILY","Craftsman",3,3,2350,8712,1,"cement siding",0,1,0
66,1912,630000,45.57299805,-122.6972351,"SINGLE_FAMILY","Bungalow",3,5,3007,4791,3,"wood siding",0,NA,0
67,2021,669950,45.52119446,-122.9198532,"SINGLE_FAMILY","Craftsman",3,4,2928,NA,2,"lap siding",1,1,1
68,1985,390000,45.5362854,-122.959938,"SINGLE_FAMILY",NA,2,3,1104,7405,1,"wood siding",1,NA,0
69,2005,367500,45.41628647,-122.7576904,"TOWNHOUSE","Traditional",3,2,1215,1742,2,"cement siding",0,1,0
70,1986,530000,45.48052597,-122.6976089,"SINGLE_FAMILY","Ranch",1,2,956,4791,1,"wood siding",1,0,0
71,2000,243000,45.52235413,-122.555336,"CONDO","Row House",2,2,1015,1742,3,"vinyl siding",1,0,0
72,1965,830000,45.41749191,-122.7798157,"SINGLE_FAMILY","Custom Style",3,5,3050,31798,2,"board & batten siding",1,1,0
73,2002,524900,45.46249771,-122.5183487,"SINGLE_FAMILY","Traditional",3,3,2263,6969,2,"stone",1,1,1
74,2006,659900,45.4449234,-122.5466309,"SINGLE_FAMILY","Craftsman",3,4,3672,7840,2,"lap siding",1,1,0
75,1957,1000000,45.54391479,-123.0044632,"SINGLE_FAMILY","Farmhouse",3,4,2942,314938,2,"lap siding",0,1,1
76,1977,896500,45.39624023,-122.7139893,"SINGLE_FAMILY","Traditional",3,4,2519,9147,2,"lap siding",1,1,0
77,1997,520000,45.53941727,-122.9296188,"SINGLE_FAMILY","Traditional",3,3,1978,6534,2,"cement siding",1,1,0
78,1992,426800,45.35499573,-122.5951767,"SINGLE_FAMILY","Ranch",2,3,1248,6969,1,"t-111 siding",1,1,0
79,2015,850000,45.56482697,-122.6906815,"SINGLE_FAMILY","FourSquare",3,4,2598,4791,2,"cement siding",0,1,1
80,2016,785094,45.3913269,-122.5142746,"SINGLE_FAMILY","Craftsman",3,3,2989,30056,2,"cement siding",1,1,1
81,2005,1425000,45.29655838,-122.5690536,"SINGLE_FAMILY","Daylight Ranch",3,3,5165,56192,2,"cement siding",1,1,1
82,2001,880001,45.30985641,-122.4620285,"SINGLE_FAMILY","Farmhouse",2,3,1854,1089000,2,"cedar",0,1,1
83,1962,605000,45.40757751,-122.6493835,"SINGLE_FAMILY","Ranch",2,3,1550,10454,1,"wood siding",0,1,1
84,1997,414500,45.38879395,-122.8147812,"SINGLE_FAMILY",NA,2,3,1550,5662,NA,"wood frame",NA,1,0
85,1960,450000,45.39382172,-122.5953598,"SINGLE_FAMILY",NA,4,5,2256,19166,2,"cedar",1,NA,0
86,1993,699900,45.44636536,-122.8232346,"SINGLE_FAMILY","Traditional",3,4,3440,8712,2,"brick",1,1,0
87,2006,294900,45.44464111,-122.7698135,"TOWNHOUSE",NA,2,2,1154,435,NA,"wood frame",NA,1,1
88,1978,477000,45.4631424,-122.845787,"SINGLE_FAMILY","Ranch",2,3,1354,7840,1,"brick",1,1,0
89,1971,620000,45.46385193,-122.8217392,"SINGLE_FAMILY","Daylight Ranch",3,5,3066,9147,2,"brick",1,1,0
90,2005,430000,45.49457169,-122.9343796,"SINGLE_FAMILY",NA,2.5,3,1600,3049,NA,"wood frame",NA,1,0
91,2020,563400,45.48349762,-122.8968964,"SINGLE_FAMILY",NA,3,4,2448,NA,2,"cement siding",1,1,0
92,1989,359000,45.46841049,-122.6023941,"SINGLE_FAMILY","Ranch",1,3,960,5662,1,"other",1,NA,0
93,2007,474000,45.5334816,-122.4822769,"SINGLE_FAMILY","Traditional",3,4,1852,4791,NA,"NA",NA,1,0
94,1976,950000,45.41700745,-122.6807785,"SINGLE_FAMILY",NA,3.5,5,2999,8276,NA,"NA",NA,1,0
95,1928,520000,45.57452774,-122.6927643,"SINGLE_FAMILY","Bungalow",1,2,2060,4791,3,"other",0,1,0
96,1894,509000,45.50600815,-122.6056824,"SINGLE_FAMILY","Ranch",2,3,2276,6098,2,"wood siding",1,1,0
97,1979,1175000,45.3828392,-122.5295715,"SINGLE_FAMILY","Daylight Ranch",3,4,2873,750103,2,"t-111 siding",1,1,1
98,1920,500000,45.56572342,-122.6715622,"SINGLE_FAMILY","Colonial",2,4,3068,4791,3,"cedar",0,1,0
99,1995,680000,45.38019943,-122.6572723,"SINGLE_FAMILY","Traditional",3,3,2221,5662,2,"cedar",1,1,1
100,1919,175000,45.57653427,-122.6896362,"SINGLE_FAMILY",NA,1,1,536,3920,1,"asbestos",NA,NA,0
101,1921,305000,45.35577393,-122.5950089,"SINGLE_FAMILY",NA,1,2,840,3200,NA,"NA",NA,1,1
102,1951,600000,45.44371414,-122.6871262,"SINGLE_FAMILY","Ranch",3,4,2670,13939,2,"brick",1,1,1
103,1926,329900,45.4645462,-122.6097336,"SINGLE_FAMILY",NA,1,4,1608,8712,3,"wood siding",1,NA,1
104,2015,405000,45.51690674,-122.8848343,"SINGLE_FAMILY","English",3,3,1481,2178,2,"cement siding",1,1,0
105,1927,375000,45.49597549,-122.5765533,"SINGLE_FAMILY",NA,2,4,2050,6098,1,"t-111 siding",NA,NA,0
106,2002,735000,45.4366684,-122.8436661,"SINGLE_FAMILY","Traditional",4,7,4228,7840,3,"lap siding",1,1,1
107,2020,424000,45.48965836,-122.8525467,"SINGLE_FAMILY",NA,3,3,1469,2613,2,"cement siding",1,1,1
108,1986,622900,45.36186218,-122.6231918,"SINGLE_FAMILY","Contemporary",3,4,2927,10018,2,"cedar",1,1,0
109,1908,625000,45.49822617,-122.6098099,"SINGLE_FAMILY","Craftsman",2,5,3387,4791,3,"vinyl siding",NA,NA,0
110,1996,408432,45.33147812,-122.6193619,"SINGLE_FAMILY",NA,2,3,1218,8276,1,"lap siding",1,0,0
111,1963,1162500,45.42163849,-122.6792145,"SINGLE_FAMILY","Traditional",5,4,3558,16552,2,"brick",1,1,1
112,2017,699000,45.35920334,-122.6522293,"SINGLE_FAMILY","Craftsman",4,6,3268,6969,3,"cement siding",1,1,1
113,1981,656000,45.53670883,-122.9836273,"SINGLE_FAMILY","Contemporary",3,4,3166,8712,2,"cedar",1,1,0
114,2011,645000,45.34695435,-122.6679993,"SINGLE_FAMILY","Traditional",3,4,2922,4356,2,"cement siding",1,1,1
115,1948,990000,45.42054367,-122.6769485,"SINGLE_FAMILY","Ranch",3,4,2879,16988,1,"brick",0,1,1
116,2003,520000,45.55472565,-122.8332443,"CONDO","Traditional",3,2,1695,NA,NA,"wood frame",NA,1,0
117,1975,285000,45.40380859,-122.7246475,"TOWNHOUSE","Contemporary",2,2,1170,NA,2,"cement siding",0,NA,1
118,2002,575000,45.52370834,-122.9210663,"SINGLE_FAMILY",NA,3,4,2413,5662,NA,"wood frame",NA,1,0
119,1962,94000,45.49832153,-122.5500565,"SINGLE_FAMILY",NA,1.5,3,2208,8453,NA,"NA",NA,1,0
120,2003,858811,45.59698105,-122.820816,"SINGLE_FAMILY","Traditional",4,5,4947,55756,3,"cement siding",1,1,1
121,1977,462000,45.45185089,-122.8214645,"SINGLE_FAMILY","Ranch",2,3,1476,9583,1,"t-111 siding",1,1,0
122,1945,2500000,45.58756638,-122.6606674,"SINGLE_FAMILY",NA,1,3,1176,34848,NA,"NA",NA,1,0
123,2002,735000,45.41108322,-122.8070755,"SINGLE_FAMILY","Craftsman",3,5,3666,10454,2,"other",1,1,0
124,1994,575000,45.32761383,-122.6196136,"SINGLE_FAMILY","Traditional",3,5,2349,8276,2,"brick",1,1,0
125,1997,505000,45.48031998,-122.3874893,"SINGLE_FAMILY","Contemporary",3,4,2229,12632,2,"lap siding",1,1,1
126,2017,540000,45.56673431,-122.6030502,"SINGLE_FAMILY","Traditional",3,4,2246,5662,NA,"NA",NA,NA,1
127,2001,573000,45.43621445,-122.8442001,"SINGLE_FAMILY",NA,3,4,2579,6969,2,"brick",1,1,1
128,1973,400000,45.52866745,-122.4625244,"SINGLE_FAMILY",NA,3,3,1740,7840,3,"lap siding",1,1,0
129,1996,470000,45.55309296,-122.4348755,"SINGLE_FAMILY","Contemporary",3,4,1984,12196,2,"brick",1,1,0
130,1930,825000,45.37413025,-122.8580246,"SINGLE_FAMILY","Farmhouse",3,4,2320,334105,2,"cedar",0,1,0
131,1968,394000,45.51415253,-122.8113556,"SINGLE_FAMILY","Ranch",2,3,1726,10454,1,"wood siding",1,1,0
132,1975,820000,45.49293518,-122.7352142,"SINGLE_FAMILY","Traditional",3,4,3019,14810,2,"cedar",1,1,0
133,1970,675000,45.4299736,-122.6809311,"SINGLE_FAMILY","Contemporary",3,5,2502,10018,3,"cedar",1,1,0
134,1930,366000,45.45466614,-122.6226425,"SINGLE_FAMILY","Farmhouse",1,2,1335,4356,2,"t-111 siding",NA,NA,0
135,1926,700000,45.55128479,-122.6801376,"SINGLE_FAMILY","Bungalow",2,4,2068,4791,3,"vinyl siding",0,1,0
136,1901,506000,45.49514771,-122.5970535,"SINGLE_FAMILY",NA,2,3,1293,3920,1,"cedar",NA,NA,0
137,1992,380000,45.37945938,-122.5953903,"SINGLE_FAMILY","Traditional",2,3,1102,4791,1,"other",1,0,0
138,1956,598000,45.56919098,-122.6258469,"SINGLE_FAMILY","Contemporary",2,2,2524,6098,4,"cedar",1,1,1
139,1912,665000,45.52199173,-122.5891953,"SINGLE_FAMILY","Bungalow",2,3,2080,4356,2,"wood siding",NA,1,1
140,2003,515000,45.35493469,-122.7852554,"SINGLE_FAMILY","Traditional",3,4,2216,7840,2,"stone",1,1,0
141,1980,174900,45.50388336,-122.3915939,"CONDO",NA,2,2,1088,NA,2,"t-111 siding",0,1,0
142,1992,642000,45.44694901,-122.7361679,"SINGLE_FAMILY",NA,7,7,2360,12196,1,"t-111 siding",1,NA,1
143,1914,1450000,45.50999069,-122.7015381,"SINGLE_FAMILY","Dutch Colonial",3,4,3963,10018,2,"wood siding",0,1,0
144,2006,1054775,45.43122482,-122.7020111,"SINGLE_FAMILY","Craftsman",4,5,3242,10018,2,"cedar",1,1,1
145,2021,1205363,45.5509491,-122.8012924,"SINGLE_FAMILY","Country French",4,5,4098,NA,3,"stone",1,1,1
146,1928,815000,45.48532867,-122.728569,"SINGLE_FAMILY",NA,0,0,1000,5663,NA,"NA",NA,0,0
147,1970,500000,45.4088974,-122.7836838,"SINGLE_FAMILY","Daylight Ranch",3,4,2922,15245,2,"wood siding",1,1,1
148,2005,340000,45.51066589,-122.8437958,"TOWNHOUSE","Craftsman",3,3,1301,871,2,"lap siding",1,1,0
149,1948,578698,45.52109146,-122.8208542,"SINGLE_FAMILY","Ranch",2,3,1834,21780,NA,"wood frame",NA,1,0
150,1992,415000,45.49475861,-122.3911591,"SINGLE_FAMILY","Traditional",3,4,1894,6969,2,"other",1,1,0
151,1915,579950,45.40967941,-122.6286926,"SINGLE_FAMILY","Craftsman",4,3,3184,16552,3,"stucco",0,NA,1
152,2021,2150000,45.4297905,-122.6954651,"SINGLE_FAMILY","Contemporary",4,4,3913,19602,2,"board & batten siding",1,1,1
153,1996,383829,45.53450775,-122.4003372,"SINGLE_FAMILY",NA,2,4,1398,5663,NA,"NA",NA,1,0
154,2003,528000,45.51867676,-122.7883835,"TOWNHOUSE","Traditional",3,3,1961,2613,2,"lap siding",1,NA,0
155,1913,950000,45.5042572,-122.6322403,"SINGLE_FAMILY","Bungalow",3,4,2730,3484,3,"cedar",1,1,0
156,2006,250000,45.53805923,-122.3999176,"CONDO","Traditional",3,2,1492,NA,3,"cement siding",0,NA,1
157,1909,1100000,45.51600266,-122.6472931,"SINGLE_FAMILY","Craftsman",3,3,3860,9583,3,"shake siding",1,1,0
158,2005,960000,45.4563942,-122.5532837,"SINGLE_FAMILY","Contemporary",5,4,6140,13503,3,"stone",1,1,1
159,1994,455810,45.34685516,-122.585495,"SINGLE_FAMILY","Traditional",3,3,2101,8712,2,"cement siding",1,1,1
160,2001,420000,45.49324036,-122.8423615,"TOWNHOUSE","Townhouse",3,3,1427,NA,3,"vinyl siding",1,1,0
161,2017,785000,45.42321014,-122.8545532,"SINGLE_FAMILY","Craftsman",3,4,3076,6534,2,"wood composite",1,1,1
162,1951,220000,45.47806931,-122.6045303,"SINGLE_FAMILY",NA,1,2,864,7405,NA,"NA",NA,NA,0
163,2001,330000,45.4698143,-122.6061249,"SINGLE_FAMILY",NA,3,3,1364,2613,NA,"NA",NA,1,0
164,2006,485000,45.32646942,-122.6087494,"SINGLE_FAMILY","Ranch",2,4,2081,7405,1,"vinyl siding",1,1,0
165,1957,505000,45.52496338,-122.5083466,"SINGLE_FAMILY","Traditional",2,3,2396,13068,2,"brick",1,1,0
166,1912,315000,45.49901581,-122.4983368,"SINGLE_FAMILY","Ranch",2,3,1389,8276,1,"vinyl siding",1,NA,0
167,2006,497000,45.39970398,-122.8149948,"SINGLE_FAMILY","Contemporary",3,4,2302,2613,2,"cement siding",1,1,0
168,1979,180000,45.44027328,-122.7794876,"SINGLE_FAMILY",NA,1,1,596,NA,NA,"wood frame",NA,1,0
169,2006,605000,45.54841614,-122.9993134,"SINGLE_FAMILY","Craftsman",3,5,2634,4356,2,"cement siding",1,1,0
170,1996,685000,45.52572632,-122.7783966,"SINGLE_FAMILY","Traditional",3,4,2835,7405,2,"brick",1,1,1
171,1930,270000,45.45733643,-122.6316223,"SINGLE_FAMILY",NA,1,2,1264,6969,1,"wood siding",0,1,0
172,1911,576000,45.56172562,-122.6893845,"SINGLE_FAMILY","Bungalow",3,2,2249,4791,3,"brick",NA,0,0
173,1953,750000,45.58060455,-122.7394028,"SINGLE_FAMILY","Ranch",2,2,1716,8276,2,"shingle siding",NA,1,1
174,2002,530000,45.36510086,-122.5459518,"SINGLE_FAMILY","Ranch",2,3,1554,30491,1,"stone",1,1,1
175,1955,414000,45.49284744,-122.3980637,"SINGLE_FAMILY","Ranch",2,3,1558,29185,1,"lap siding",1,1,0
176,1979,435000,45.47388458,-122.4487228,"SINGLE_FAMILY",NA,3,4,2114,10890,2,"t-111 siding",1,1,1
177,1910,1250000,45.54913712,-122.6844482,"SINGLE_FAMILY","FourSquare",4,5,4216,5227,4,"man made",NA,1,1
178,2016,357900,45.51800537,-122.8981094,"TOWNHOUSE","Traditional",3,2,1460,NA,3,"cement siding",1,1,1
179,1972,315000,45.54376984,-122.5122223,"TOWNHOUSE","Townhouse",3,2,1664,NA,2,"wood siding",0,1,0
180,2012,770000,45.38344955,-122.6561279,"SINGLE_FAMILY","Traditional",3,4,3445,7405,2,"stone",1,1,1
181,1963,600000,45.54646683,-123.0004044,"SINGLE_FAMILY","Ranch",2,4,1700,NA,1,"lap siding",1,1,0
182,1983,500000,45.46685791,-122.8402405,"SINGLE_FAMILY",NA,2,3,1544,6969,1,"wood siding",1,1,1
183,2001,505000,45.35718918,-122.8583527,"SINGLE_FAMILY",NA,3,3,1954,6098,1,"lap siding",1,1,1
184,1959,368500,45.47771835,-122.3914719,"SINGLE_FAMILY","Ranch",2,3,1776,16988,1,"brick",NA,1,0
185,1940,360000,45.53528214,-122.9650345,"SINGLE_FAMILY","Traditional",1,4,1565,19166,2,"other",0,NA,0
186,1939,310000,45.44177246,-122.7431946,"SINGLE_FAMILY","Traditional",1,3,936,10018,2,"lap siding",NA,NA,1
187,2015,344900,45.4291954,-122.5026855,"TOWNHOUSE","Townhouse",3,3,1513,2613,2,"cement siding",1,1,1
188,1957,396000,45.47703552,-122.7927704,"SINGLE_FAMILY","Mid-Century Modern",2,3,1196,7840,1,"lap siding",1,NA,0
189,1950,605000,45.46879196,-122.6871796,"SINGLE_FAMILY","Traditional",4,4,4498,6969,3,"brick",1,1,0
190,1950,292302,45.50105667,-122.4943314,"SINGLE_FAMILY",NA,1,2,804,10890,1,"aluminum siding",1,NA,0
191,1968,470000,45.48223877,-122.7722168,"SINGLE_FAMILY","Ranch",2,3,1590,7405,1,"wood siding",1,1,0
192,1929,760000,45.52394485,-122.7121506,"SINGLE_FAMILY","English",2,4,2960,8276,3,"stucco",NA,1,1
193,1977,467500,45.43003845,-122.6202393,"SINGLE_FAMILY",NA,2,4,2668,13939,2,"cedar",1,1,0
194,1904,660000,45.57044983,-122.6646652,"SINGLE_FAMILY","Traditional",4,4,2640,6534,4,"asbestos",0,NA,0
195,1952,503000,45.51519012,-122.5355225,"SINGLE_FAMILY","Daylight Ranch",2,3,2540,NA,2,"lap siding",1,1,0
196,1990,785000,45.45638657,-122.8773346,"SINGLE_FAMILY","Traditional",3,4,5073,43560,3,"brick",1,1,1
197,1966,1550000,45.40516281,-122.7244339,"SINGLE_FAMILY","Contemporary",4,5,3898,24393,2,"wood siding",1,1,1
198,1927,480000,45.46073532,-122.7222519,"SINGLE_FAMILY",NA,2,3,1434,8400,NA,"NA",NA,1,1
199,1927,715000,45.47600174,-122.6262436,"SINGLE_FAMILY","Capecod",2,2,2926,6098,3,"wood siding",1,1,0
200,1995,745000,45.40232468,-122.7400436,"SINGLE_FAMILY","Traditional",3,5,2497,9147,2,"lap siding",1,1,1
201,1977,600000,45.4458046,-122.5605164,"SINGLE_FAMILY","Other",3,4,2494,10454,2,"wood siding",1,1,0
202,2004,550000,45.58870697,-122.7408524,"SINGLE_FAMILY","Traditional",3,3,1376,3484,2,"brick",1,1,0
203,1953,599000,45.39085388,-122.6357193,"SINGLE_FAMILY","Mid-Century Modern",1,3,1508,17424,1,"wood siding",1,1,0
204,2008,435000,45.33407211,-122.5661087,"SINGLE_FAMILY","Contemporary",3,4,2240,3484,2,"cement siding",1,1,0
205,1971,410000,45.3398819,-122.6107788,"SINGLE_FAMILY","Ranch",3,3,1719,9583,2,"stucco",0,1,0
206,2007,384900,45.52882385,-122.3958511,"SINGLE_FAMILY",NA,3,4,1947,3049,2,"cement siding",1,1,0
207,2000,720000,45.45340347,-122.8514786,"SINGLE_FAMILY","Traditional",3,4,3407,8712,2,"cement siding",0,1,1
208,2000,511150,45.31308746,-122.5562363,"SINGLE_FAMILY",NA,2,3,1630,8712,1,"lap siding",1,1,0
209,1959,462000,45.50048065,-122.4732132,"SINGLE_FAMILY","Ranch",3,4,1843,7840,2,"lap siding",1,1,0
210,1915,496161,45.5933609,-122.7498779,"SINGLE_FAMILY","Bungalow",1,2,1332,5227,1,"cedar",NA,NA,0
211,2002,466000,45.3694191,-122.8573685,"SINGLE_FAMILY","Contemporary",3,3,1320,4356,2,"cement siding",1,1,1
212,1993,270000,45.47192383,-122.583725,"SINGLE_FAMILY",NA,2,3,1128,9800,NA,"NA",NA,NA,0
213,1989,240500,45.54096222,-122.5088577,"CONDO",NA,2,2,1128,NA,1,"brick",0,1,0
214,1980,425000,45.50230408,-122.4034271,"SINGLE_FAMILY",NA,3,3,1685,6969,2,"t-111 siding",1,1,0
215,2012,751000,45.36252213,-122.6366425,"SINGLE_FAMILY","Craftsman",3,3,2291,5227,2,"cement siding",1,1,0
216,2003,506500,45.50815964,-122.9151993,"SINGLE_FAMILY","Traditional",3,4,2203,5662,2,"cement siding",1,1,0
217,2000,815000,45.43324661,-122.6979904,"SINGLE_FAMILY","Traditional",3,4,2952,16117,2,"brick",1,1,0
218,1949,290000,45.53562546,-122.5929565,"CONDO","Mid-Century Modern",1,2,1050,NA,2,"stucco",NA,0,1
219,2007,335000,45.49710846,-122.8744049,"TOWNHOUSE","Townhouse",3,3,1632,2178,3,"cement siding",1,1,0
220,2006,615000,45.40678406,-122.8085938,"SINGLE_FAMILY","Traditional",3,3,2783,6534,2,"lap siding",1,1,0
221,2021,827500,45.46380615,-122.7216797,"SINGLE_FAMILY","Farmhouse",3,5,2352,4791,2,"other",1,1,0
